blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,sound_2.started,sound_2.stopped,image_3.started,image_3.stopped,text_2.started,text_2.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.rt,timed_resp.started,timed_resp.stopped,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,7,untimed,01,standing,switch,incongruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.39276194572449,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,8,untimed,01,standing,noswitch,incongruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559409.581053,47.622649908065796,None,48.608433961868286,None,1,1,1.3907849788665771,48.608433961868286,None,,,,,50.128779888153076,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,9,untimed,01,standing,noswitch,incongruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559411.1107323,50.359030961990356,None,51.33718490600586,None,2,1,0.18161296844482422,51.33718490600586,None,,,,,51.65873098373413,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,10,untimed,01,standing,switch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559412.6916723,51.88857984542847,None,52.86213207244873,None,2,1,0.228424072265625,52.86213207244873,None,,,,,53.24049401283264,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,11,untimed,01,standing,switch,congruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559414.2141628,53.47071194648743,None,54.44504404067993,None,2,1,0.1575610637664795,54.44504404067993,None,,,,,54.76276206970215,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,12,untimed,01,standing,switch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559415.795246,54.99253296852112,None,55.96606206893921,None,2,1,0.22037100791931152,55.96606206893921,None,,,,,56.343891859054565,None,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.574121952056885,None,2,0.7523539066314697,56.574121952056885,None,,,,,,,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41688084602356,None,2,0.3635590076446533,57.41688084602356,None,,,,,,,,,,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,1,timed,01,standing,buffer,buffer,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559418.766828,,,,,,,,,,,,,,59.31676697731018,None,,,,,,,,,,,,,,,,,57.950002908706665,None,58.94089102745056,None,2,1,0.2516908645629883,58.94089102745056,None,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,2,timed,01,standing,switch,incongruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559420.303947,,,,,,,,,,,,,,60.852540016174316,None,,,,,,,,,,,,,,,,,59.546289920806885,None,60.53731393814087,None,1,1,0.21530413627624512,60.53731393814087,None,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
1,3,timed,01,standing,switch,congruant,solid,square,blue,stimuli/solid-rectangle.png,stimuli/blue-square.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559421.8409717,,,,,,,,,,,,,,62.390511989593506,None,,,,,,,,,,,,,,,,,61.08227205276489,None,62.07398295402527,None,1,1,0.18335199356079102,62.07398295402527,None,1000,001,01,2021_Nov_10_0949,task-switching-replication,2021.2.3,59.98546952318298,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636559424.5618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.620481967926025,None,63.610466957092285,None,None,0,,63.610466957092285,None,,,,,,,,
