blockNum,trialNum,trialType,condition,posture,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,cueFileName,stimuliFileName,correctAnswer,untimedTrials.thisRepN,untimedTrials.thisTrialN,untimedTrials.thisN,untimedTrials.thisIndex,selectIncorrectResponseSolid1.thisRepN,selectIncorrectResponseSolid1.thisTrialN,selectIncorrectResponseSolid1.thisN,selectIncorrectResponseSolid1.thisIndex,selectIncorrectResponseDashed1.thisRepN,selectIncorrectResponseDashed1.thisTrialN,selectIncorrectResponseDashed1.thisN,selectIncorrectResponseDashed1.thisIndex,timedTrials.thisRepN,timedTrials.thisTrialN,timedTrials.thisN,timedTrials.thisIndex,selectIncorrectResponseSolid2.thisRepN,selectIncorrectResponseSolid2.thisTrialN,selectIncorrectResponseSolid2.thisN,selectIncorrectResponseSolid2.thisIndex,selectTimeoutSolid2.thisRepN,selectTimeoutSolid2.thisTrialN,selectTimeoutSolid2.thisN,selectTimeoutSolid2.thisIndex,selectIncorrectResponseDashed2.thisRepN,selectIncorrectResponseDashed2.thisTrialN,selectIncorrectResponseDashed2.thisN,selectIncorrectResponseDashed2.thisIndex,selectTimeoutDashed2.thisRepN,selectTimeoutDashed2.thisTrialN,selectTimeoutDashed2.thisN,selectTimeoutDashed2.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_5.started,image_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_6.started,image_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_7.started,image_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image_8.started,image_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_9.started,image_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,image_10.started,image_10.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_11.started,image_11.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,utcTime,cue_untimed_image.started,cue_untimed_image.stopped,stimuli_untimed_image.started,stimuli_untimed_image.stopped,untimed_resp.keys,untimed_resp.corr,untimed_resp.rt,untimed_resp.started,untimed_resp.stopped,sound_2.started,sound_2.stopped,image_3.started,image_3.stopped,text_2.started,text_2.stopped,sound_1.started,sound_1.stopped,image_2.started,image_2.stopped,image_12.started,image_12.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_13.started,image_13.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,cue_timed_image.started,cue_timed_image.stopped,stimuli_timed_image.started,stimuli_timed_image.stopped,timed_resp.keys,timed_resp.corr,timed_resp.started,timed_resp.stopped,sound_4.started,sound_4.stopped,image_15.started,image_15.stopped,timed_resp.rt,participant,session,condition,date,expName,psychopyVersion,frameRate,
1,10,untimed,15,sitting,noswitch,congruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486800.9627748,44.09601807594299,None,45.070059061050415,None,1,1,0.6843540668487549,45.070059061050415,None,,,,,45.83704614639282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,11,untimed,15,sitting,switch,incongruant,dashed,square,blue,stimuli/dashed-rectangle.png,stimuli/blue-square.png,2,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486802.7802866,46.06021809577942,None,47.03463101387024,None,2,1,0.5089619159698486,47.03463101387024,None,,,,,47.65366196632385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,12,untimed,15,sitting,switch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486804.9201894,47.87672805786133,None,48.851233959198,None,1,1,0.8244550228118896,48.851233959198,None,,,,,49.80146408081055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01436400413513,None,2,0.5831499099731445,50.01436400413513,None,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.73626494407654,None,2,0.4792962074279785,50.73626494407654,None,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,1,timed,15,sitting,buffer,buffer,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486809.0471835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.37836003303528,None,52.37909007072449,None,None,0,52.37909007072449,None,53.91659927368164,54.93640899658203,53.94944214820862,None,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,1,timed,15,sitting,buffer,buffer,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.95349192619324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,2,timed,15,sitting,noswitch,congruant,dashed,triangle,blue,stimuli/dashed-rectangle.png,stimuli/blue-triangle.png,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486815.978442,,,,,,,,,,,,,,60.867690086364746,None,,,,,,,,,,,,,,,,,59.150246143341064,None,60.13748002052307,None,2,1,60.13748002052307,None,,,,,0.5729990005493164,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,3,timed,15,sitting,switch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,1,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486817.864816,,,,,,,,,,,,,,,,62.72495114803314,63.775694131851196,62.75788593292236,None,,,,,,,,,,,,,61.09637498855591,None,62.08315896987915,None,2,0,62.08315896987915,None,,,,,0.5462851524353027,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,3,timed,15,sitting,switch,incongruant,solid,triangle,yellow,stimuli/solid-rectangle.png,stimuli/yellow-triangle.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7760419845581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,4,timed,15,sitting,switch,congruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486825.629248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.972815990448,None,68.96000909805298,None,None,0,68.96000909805298,None,70.49864029884338,71.51838302612305,70.53103995323181,None,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,4,timed,15,sitting,switch,congruant,dashed,triangle,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-triangle.png,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.53378295898438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,5,timed,15,sitting,noswitch,congruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,1,,,,,,,,,,,,,0,4,4,4,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486832.853524,,,,,,,,,,77.7136400938034,78.73126292228699,77.7476270198822,None,,,,,,,,,,,,,,,,,,,75.73013305664062,None,76.71694302558899,None,2,0,76.71694302558899,None,,,,,0.9135639667510986,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,5,timed,15,sitting,noswitch,congruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,1,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.76859998703003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
1,6,timed,15,sitting,noswitch,congruant,dashed,square,yellow,stimuli/dashed-rectangle.png,stimuli/yellow-square.png,1,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636486839.9134145,,,,,,,,,,,,,,84.80207109451294,None,,,,,,,,,,,,,,,,,82.96553802490234,None,83.95371007919312,None,1,1,83.95371007919312,None,,,,,0.7508180141448975,8015,001,15,2021_Nov_09_1339,task-switching-replication,2021.2.3,60.014652014652015,
